1254,ランダム番号,年号補助,和暦,人物２,人物３,人物,抽出ワード,歴史カード,Timestamp,項目,メモ,本
,1058,1602,,,俵屋宗達が平家納経の補修を手がける,,,日本　文化　美術,,,,
,1109,1602,,,オランダ東インド会社,,,ヨーロッパ　オランダ,,,,
,1151,1602,ころ,,「ハムレット」,,シェクスピア,ヨーロッパ　イギリス　文化,,,,
,206,1603,,,三部会,,,フランス,,,,
,1050,1603,～1605,,将軍：徳川家康　初代,,,日本,,,,
,1086,1603,,,大久保長安が佐渡金銀山の差配を手に入れる,,,日本,,,,
,1635,1603,,,出雲の阿国が四条河原で歌舞踊り,,,日本　文化,,,,
,207,1604,,,SN1604,ケプラーの星　赤色超巨星,ケプラー,科学　宇宙 天文,,,,
,208,1605,,,ジェームス１世暗殺未遂,ボンファイア・ナイトの故事,,イギリス,,,,
,209,1605,,,ドン･キホーテ（正）,,セルバンテス,文化　スペイン,,,,
,672,1605,,,火薬陰謀事件,,ガイ・フォークス,イギリス,,,,
,1041,1605,～1623,,将軍：徳川秀忠　2代,,,日本,,,,
,1087,1606,,,大久保長安が伊豆銀山を開発,,,日本,,,,
,812,1607,,,日本最初の金属活字,,徳川家康,日本,,,,
,1110,1608,,,オランダ人の対日貿易,,,ヨーロッパ　日本　オランダ,,,,
,1922,1608,,,望遠鏡の特許,,ハンス・リッペルスハイ,ヨーロッパ　オランダ,,,,
,210,1609,,,「新天文学」,,ケプラー,科学,,,,
,211,1609,,,オランダの事実上の独立,,,オランダ　ハプスブルク,,,,
,212,1609,,,信仰の自由の勅命,,ルドルフ2世,ドイツ　キリスト教　宗教,,,,
,1130,1609,,,オランダ東インド会社が平戸で茶を仕入れる,,,ヨーロッパ　文化　食　日本,,,,
,1182,1609,,,薩摩藩が首里を占領,,,日本　沖縄,,,,
,1592,1609,,,禁煙令発布,,徳川家康,,,,,
,1695,1609,,,薩摩藩が琉球王国を服従させる,,,日本,,,,
,1729,1610,,,ガリレオ衛星発見,,,文化　科学,,,,
,213,1611,,,ケプラー予想,,,科学,,,,
,696,1611,,,慶長津波被害,,,日本,,,,
,1637,1611,～1614,,高瀬川の工事,,角倉了以,日本　文化,,,,
,1320,1612,,,訓戒状,,家康　お江,日本,,,,
,886,1613,9月15日,,支倉常長の慶長遣欧使節団が出発,,フェリペ3世,日本,,,,
,1113,1613,,,大久保長安が死す,,,日本,,,,
,1111,1614,,,イギリス人の対日貿易,,,ヨーロッパ　日本　イギリス,,,,
,214,1615,,,武家諸法度,,,日本　法律,中学,,,
,215,1615,,,「ドン・キホーテ」,,セルバンテス,文化　文学,,,,
,1318,1615,,,コーヒーをトルコ人がベネチアに持ち込む,,,文化　食　飲料,,,,
,1319,1615,,,一国一城令,,,日本,,,,
,1640,1615,,,本阿弥孝悦に家康が鷹峯を与える,光悦村,,日本　文化　宗教,,,,
,999,1616,,,千姫が本多忠刻と結婚,,,日本,,,,
,1114,1616,,,徳川家康の死,,,日本,,,,
,1019,1617,,,加納探幽が幕府の御用絵師に,,加納探幽16歳,日本　文化　美術,,,,
,216,1618,,,「卵を料理する老婆と少年」,,ベラスケス,文化　美術,,,,
,217,1619,,,ケプラーの法則,,,科学,,,,
,218,1619,,,フェルディナンド2世即位（～1637）,1617年に指名される。,,ドイツ　ハプスブルク　皇帝,,,,
,219,1621,,,ユダヤ人がウィーンから追放,,,宗教,,,,
,1116,1622,,,イギリス艦隊がマカオを襲撃,,,ヨーロッパ　アジア　イギリス　ポルトガル,,,,
,1256,1622,,,宇都宮釣天井事件,,,日本,,,,
,1373,1622,,,ジェノバの金利が高騰,2％以下から4％台へ,,ヨーロッパ,,,,
,1040,1623,～1651,,将軍：徳川家光　3代,,,日本,,,,
,1115,1623,,,イギリス商館の閉鎖,,,日本　イギリス,,,,
,1112,1624,,,院内銀山で25人のキリシタンが処刑,,,日本,,,,
,1413,1624,,,福砂屋,カステラ本家　長崎,,日本　文化　食,,,,
,1545,1624,,,唐長,京都の唐紙屋,,日本　文化,,,,
,220,1625,,,「マリー･ド･メディシスの生涯」,,ルーベンス,文化　美術,,,,
,221,1625,,,「戦争と平和の法」,,グロチウス,文化,,,,
,1199,1625,,寛永2,森八が菓子屋を創業,落雁,,金沢　文化　食　菓子　日本,,,,
,1505,1625,,,寛永寺,,,日本,,,,
,1052,1626,,,「二条城　二の丸御殿大広間　障壁画」,,狩野探幽,日本　文化　美術,,,,
,1454,1626,,,「無縁慈悲集」,戒名指南書,,日本　文化　宗教,,,,
,1249,1627,,,紫衣事件,,後水尾天皇,日本,,,,
,1282,1627,,,「塵劫記」,,,日本　文化　科学,,,,
,1300,1627,,,富岡八幡宮,,,日本　文化,,,,
,1516,1627,7月19日,,寛永の法度,妙心寺法度・大徳寺法度,金地院崇伝,日本,,,,
,1551,1627,,,上野東照宮,,藤堂高虎,日本　文化,,,,
,1518,1628,,,ルーベンスばベラスケスを訪ねる,,,ヨーロッパ　文化,,,,
,1638,1628,,,南禅寺三門,,藤堂高虎（津藩）,日本　文化　宗教,,,,
,851,1629,,,俄の御譲位事件,,,日本,,,,
,1000,1629,,,女芸能禁止,,,日本　文化,,,,
,222,1630,年代,,オランダでチューリップ価格高騰,,,ヨーロッパ,,,,
,1289,1630,,,仙洞御所に最初の築山泉水庭,,小堀遠州,日本　文化,,,,
,831,1632,,,熊本藩加藤家改易,,,日本,,,,
,897,1632,,,幕府が各宗派へ寺院本末帳の提出を命じる,,林羅山,日本　文化　宗教,,,,
,1924,1632,,,「世界系対話」,,ガリレオ,ヨーロッパ,,,,
,223,1633,,,ガリレオの第2回異端審問所審査,,ガリレオ,科学,,,,
,1264,1633,,,お茶壺道中が始まる,,,日本　文化　食,,,,
,727,1634,,嘉永11,両口屋是清創業,名古屋,猿屋三郎右衛門,文化　食　日本　菓子,,,,
,776,1634,,,伊賀越えの仇討ち（鍵屋の辻の決闘）,日本三大仇討ち,荒木又右衛門,日本,,,,
,224,1635,,,「ブレダの開城」,,ベラスケス,文化　美術,,,,
,225,1635,,,ガヴァリエリの原理,,,科学　数学,,,,
,821,1635,,,参勤交代の制度が始まる,,,日本,,,,
,964,1635,,,総本家ゆどうふ　奥丹清水店,京都南禅寺三門そば,,日本　文化　食,,,,
,1384,1635,,,犬山祭が始まる,,,日本,,,,
,1926,1635,,,フランスのアカデミー・フランセーズ,,,ヨーロッパ,,,,
,1237,1636,,,江戸の総曲輪が完成,,,日本,,,,
,227,1637,,,島原・天草一揆,,,日本,中学,,,
,228,1637,,,「方法序説」,,デカルト,思想　文化,,,,
,661,1637,,,李氏朝鮮が清朝と朝貢関係に,,,朝鮮半島　アジア　中国,,,,
,1402,1637,,,チューリップ恐慌,,,オランダ,,,,
,229,1639,,,ポルトガル船の来航を禁止,鎖国の完成,,日本　ヨーロッパ,中学,,,
,820,1639,,,鎖国の完成,,,日本,,,,
,230,1641,,,オランダ商館を長崎の出島へ,,,日本,中学,,,
,1263,1641,,,詩仙堂,僧都（ししおどし）,石川丈山,日本　文化,,,,
,231,1642,,,「夜警」,後期ルネサンス派（プロテスタント）,レンブラント,文化　美術,,,,
,232,1642,,,ガリレオが死に、ニュートンが生まれる。,,,科学,,,,
,1024,1642,～1643,,寛永の大飢饉,,,日本,,,,
,1507,1642,,,比叡山延暦寺　根本中堂,,,日本,,,,
,1822,1642,,,「夜警」,,レンブラント,文化　美術,,,,
,233,1643,,,トリチェリの真空,,トリチェリ,科学,,,,
,234,1643,,,ルイ14世即位（～）,,,フランス,,,,
,1336,1643,,,町人の羅紗合羽着用の禁止,,,日本,,,,
,1628,1644,,,東寺　五重塔,,,日本　文化　宗教,,,,
,235,1645,,,ペスト流行,,,ヨーロッパ,,,,
,621,1645,,,クレタ島攻防戦,,,ヨーロッパ,,,,
,748,1646,1月,,お玉の方が綱吉を産む,桂昌院,家光の側室,日本　女,,,,
,236,1648,,,ウェストファリア条約,帝国内諸侯の主権確立,,ドイツ,,,,
,237,1649,,,慶安の御触書,,,日本　法律,中学,,,
,238,1649,,,チャールズ１世処刑,,,イギリス,,,,
,1126,1649,,,ドローエダの虐殺,,,イギリス,,,,
,1981,1649,,,ロシアで農民の異動禁止の勅令,,,ロシア,,,,
,626,1650,,,イギリスで最初のコーヒーハウス,,,分化　食　イギリス,,,,
,1620,1650,,,お蔭参り,,,日本　文化　宗教,,,,
,239,1651,,,イギリス航海条例,,,ヨーロッパ,,,,
,639,1651,,,慶安の変,,由井正雪,日本,,,,
,640,1651,,,末期養子の禁の緩和,4代家綱の三大幕政改革,保科正之,日本,,,,
,1006,1651,～1680,,将軍：徳川家綱　4代,左様せい様,,日本　将軍,,,,
,240,1652,,,「聖テレジアの法悦」,,ベルニーニ,文化　美術,,,,
,241,1652,,,第一次蘭英戦争,,,ヨーロッパ,,,,
,1001,1652,,,若衆歌舞伎禁止,,,日本　文化,,,,
,1337,1652,,,歌舞伎者のビロード襟を禁止,,,日本,,,,
,1588,1652,～1654,,第一次英蘭戦争,,,ヨーロッパ　イギリス,,,,
,1914,1652,,,若衆歌舞伎禁止,,,日本　文化,,,,
,1051,1653,,,酒井忠清が老中に,30歳　下馬将軍,,日本,,,,
,976,1654,,,土佐光起が絵所預に,,,日本　文化　美術,,,,
,1315,1654,,,隠元禅師が来日（長崎）,文人画,,日本　文化　宗教　食,,,,
,1864,1654,,,ペレヤスカフ協定,,,,,,,
,991,1655,～1657,,元号：明暦,,,日本　元号,,,,
,1351,1655,,,イカノボリ禁止令,,,日本,,,,
,1131,1657,,,ギャラウェイが茶の販売を開始,ロンドン,トーマス・ギャラウェイ,ヨーロッパ　文化　食　イギリス,,,,
,1238,1657,,,明暦の大火　振袖火事,江戸の三大大火,,日本,,,,
,1304,1657,,,幡随院長兵衛の死,,,日本,,,,
,1571,1657,,,トーマス・ギャラウェーが店頭で紅茶の販売,,トーマス・ギャラウェー,イギリス　文化　食,,,,
,1956,1657,,,振り子時計,,ホイヘンス,,,,,
,243,1658,,,クロムウエル死去,,,イギリス,,,,
,244,1658,,,レオポルド1世即位（～1705）,バロックの皇帝,レオポルド1世,ドイツ　ハプスブルク　皇帝,,,,
,1553,1658,,,隠元が家綱に謁見,,,日本　文化　宗教,,,,
,245,1659,,,「青い服の王女マルガリータ･テレサ」,,ベラスケス,文化　美術,,,,
,1368,1659,,,塩瀬清兵衛が江戸日本橋に店を出す,,,日本　文化　食　菓子,,,,
,1594,1659,,,万福寺建立,宇治　黄檗宗,隠元,日本　文化　宗教,,,,
,1652,1659,,,修学院離宮,,,日本　文化,,,,
,246,1660,,,王立協会設立,ﾛｲﾔﾙｿｻｲｱﾃｨ　科学革命の中核,,イギリス,,,,
○,1410,1660,,,お奈津が死去,家康の側室　伝通院,,日本,,,,
,1927,1660,,,イギリスのロイヤル・アカデミー,,,ヨーロッパ　イギリス,,,,
,1053,1662,,,狩野探幽が法印に,,,日本　文化　美術,,,,
,1132,1662,,,イギリスの宮廷に茶が,ポルトガルから王妃を迎える,チャールズ2世　キャサリン,ヨーロッパ　文化　食　イギリス,,,,
,1301,1662,,,亀戸天神,,家綱,日本　文化　食,,,,
,642,1663,,,殉死の禁止,4代家綱の三大幕政改革,保科正之,日本,,,,
,247,1665,,,「真珠と首飾りの少女」,,フェルメール,文化　美術,,,,
,248,1665,,,ロンドンでペスト流行,The Great Plague,,イギリス,,,,
,249,1665,,,驚異の年（～66）,,ニュートン,科学,,,,
,641,1665,,,大名証人制の廃止,4代家綱の三大幕政改革,保科正之,日本,,,,
,1329,1665,,,イギリスでペスト流行,,,イギリス,,,,
,1821,1665,頃,,「イサクとリベカ」,,レンブラント,文化　美術,,,,
,250,1666,,,ボンタック家がロンドンにブリオン居酒屋,グラーブ,,イギリス　フランス　ワイン,,,,
,251,1666,,,ロンドン大火,The Great Fire,,イギリス,,,,
,1331,1666,10月7日,,衣服改革宣言,,チャールズ2世,イギリス,,,,
,252,1668,,,発泡性ワインの発見,,Don Perignon,文化 食,,,,
,253,1669,,,トルコ大使がパリにコーヒーを紹介,,,文化　フランス　食,,,,
,1506,1669,,,上野の鐘,,,日本,,,,
,254,1670,,,ユダヤ人がウィーンから追放,,,ハプスブルク,,,,
,255,1670,,,「パンセ」,,パスカル,思想,,,,
,256,1672,,,パリに最初のカフェ,,,文化　食,,,,
,1255,1673,,,三井高利が江戸本町に呉服店を開業,,,日本,,,,
,1283,1674,,,「発微算法」,ぼう書法,関孝和,日本　文化　科学,,,,
,1590,1674,,,イギリスがオランダからニューアムステルダムを奪う,,,ヨーロッパ　イギリス　アメリカ,,,,
,735,1675,,延宝3,玉澤創業,仙台市,玉澤伝蔵（近江出身）,文化　食　日本　菓子,,,,
,257,1679,,,ハンブルクにコーヒー店,イギリス人,,文化　ワイン　ドイツ　食,,,,
,258,1679,,,ペスト流行（ウィーン）,,,ハプスブルク,,,,
,1456,1679,,,「大成経」が江戸の書店で発見,葬式仏教の正当化　しかし偽書,,日本　文化　宗教,,,,
,1003,1680,～1709,,将軍：徳川綱吉　5代,,,日本　将軍,,,,
,1239,1682,,,八百屋お七の火事,江戸の三大大火,,日本,,,,
,622,1683,,,第2次ウィーン包囲,トルコが陸上の西進をあきらめる,レオポルド1世　メフメト4世,イスラム　トルコ,,,,
,1146,1683,,,綱吉が武家諸法度の第１条などを改訂,忠孝や礼儀,,日本,,,,
,1284,1683,,,「研幾算法」,,建部賢弘,日本　文化　科学,,,,
,1378,1683,,,三井越後屋が引札,,,日本,,,,
,260,1684,,,微積分法を発表,,ライプニッツ,科学　数学,,,,
,1257,1684,,,大老堀田正俊が刺殺される,,,日本,,,,
,1267,1684,,,貞享歴,,,日本,,,,
,261,1685,,,ナントの王令廃止,,,フランス,,,,
,709,1685,,,八橋検校没,八つ橋・六段の調・金戒光明時に墓,,文化　食　日本,,,,
,932,1685,～1755,,貞享暦が使われる,,渋川春海,日本　文化,,,,
,977,1685,,,土佐光起が法眼叙任,,,日本　文化　美術,,,,
,1164,1685,,,「西鶴諸国ばなし」,,,日本　文化,,,,
,1285,1685,,,「発微算法演題諺解」,,建部賢弘,日本　文化　科学,,,,
,1945,1685,,,ユグノー追放,,ルイ14世,ヨーロッパ　フランス,,,,
,1405,1686,,,貞享騒動,松本藩水野家,多田加助,日本,,,,
,1500,1686,,,ル・プロコール創業,パリ最古のカフェ,,文化　食　ヨーロッパ,,,,
,1915,1686,,,大髭禁止令,,,日本　文化,,,,
,262,1687,,,プリンピキア,,ニュートン,科学,,,,
,1147,1687,,,はじめの生類憐れみの令,,,日本,,,,
,967,1688,,,神茂創業,日本橋　はんぺん　蒲鉾,,日本　文化　食,,,,
,986,1688,～1704,,元号：元禄,,,日本　元号,,,,
,1143,1688,～1704ごろ,,「見返り美人図」,,菱川師宣,日本　文化　美術,,,,
,717,1689,,,聖護院八ツ橋総本店の創業,屋号は玄鶴堂／元禄2年,,文化　食　日本　菓子,,,,
,1942,1689,,,寛容令,,,ヨーロッパ　イギリス,,,,
,1984,1689,,,ネルチンスク条約,ロシア　清,,ロシア　中国,,,,
,1010,1690,年代,,「歌舞伎図屏風」,,菱川師宣,日本　文化　美術,,,,
,1509,1690,,,山本山創業,,,日本　文化　食,,,,
,1991,1690,,,三春藩主が富山藩の反魂丹を服す,,,日本,,,,
,973,1691,,,笹乃雪,とうふ　根岸,,日本　文化　食,,,,
,1733,1692,,,ポート・ロイヤルの大地震,ジャマイカ,,,,,,
,1324,1694,,,イングランド銀行,,,イギリス,,,,
,1195,1695,,,仙台・熊谷屋,,,仙台,,,,
,1348,1695,9月,,元禄小判,,荻原重秀,日本　経済,,,,
,1219,1696,,,網干屋善左衛門,,,日本,,,,
,1496,1696,,,皇稜修理,,柳沢吉保,日本,,,,
,263,1697,,,センタの戦い,,レオポルド1世,ドイツ,,,,
,1534,1698,,,永代橋架橋,,,日本,,,,
,1241,1699,,,古呂利流行,,,日本,,,,
,1735,1700,,,イギリスのキュラコ輸入禁止法,,,,,,,
,1928,1700,,,プロシアの王立科学協会,,,ヨーロッパ,,,,
,1985,1700,～1721,,北方戦争,ロシア　スウェーデン,,ロシア,,,,
,264,1701,,,スペイン継承戦争が始まる,,,ドイツ　スペイン,,,,
,265,1701,,,プロイセン王国,,フリードリフ1世,ドイツ,,,,
,975,1701,,,尾形光琳が法橋叙任,,,日本　文化　美術,,,,
,729,1702,,元禄15,虎屋伊織（鶴屋八幡の前身）創業,大阪市,,文化　食　日本　菓子,,,,
,778,1703,1月30日,,元禄赤穂事件,日本三大仇討ち,,日本,,,,
,947,1703,,,元禄大地震,,,日本,,,,
,994,1704,～1710,,元号：宝永,,,日本　元号,,,,
,1218,1705,,,淀屋三郎右衛門（辰五郎）が闕所処分,財産没収と所払い,,日本,,,,
,1233,1705,,,近世三大巡礼運動,おかげ参り,,日本,,,,
,1412,1705,,宝永2,杉山壽山堂創業,秋田市,,日本　文化　食,,,,
,1621,1705,,,お蔭参り,,,日本　文化　宗教,,,,
,266,1706,,,マチンの公式,,ジョン･マチン,科学,,,,
,1566,1706,,,トムズ・コーヒーハウスがオープン,,トーマス・トワイニング,イギリス　文化　食,,,,
,996,1707,,,宝永地震　富士山の宝永大噴火,,,日本,,,,
,1397,1707,,,スコットランドが大英帝国に合併,,,イギリス,,,,
,1943,1707,,,スコットランドがイギリスに,,,ヨーロッパ　イギリス,,,,
,623,1708,,,トワイニングが紅茶の取り扱いを開始,,トーマス・トワイニング,文化　食　イギリス,,,,
,1247,1708,,,日本最初の駐車制限令,,,日本,,,,
,267,1709,,,ザクセン王国　白磁の製造に成功,,アウグスト強健王　ベドガー,ドイツ　文化,,,,
,822,1709,～1716,,新井白石の政治,,,日本,,,,
,1042,1709,～1712,,将軍：徳川家宣　6代,新井白石を重用,,日本,,,,
,1011,1710,以降,,「八橋図屏風」,,尾形光琳,日本　文化　美術,,,,
,1349,1710,4月,,宝永小判,,,日本　経済,,,,
,1831,1710,,,和俗童子訓,,貝原益軒,文化　書　日本,,,,
,995,1711,～1715,,元号：正徳,,,日本　元号,,,,
,1209,1711,,,三綱の変,,新井白石,日本,,,,
,1213,1712,,,荻原重秀罷免,,新井白石,日本,,,,
,1287,1712,,,「括要算法」,関孝和の遺稿を弟子がまとめた,,日本　文化　科学,,,,
,268,1713,,,相続順位法,,カール6世,ドイツ,,,,
,581,1713,,,南アフリカで天然痘が大流行,サン族が崩壊,,アフリカ,,,,
,1043,1713,～1716,,将軍：徳川家継　7代,,,日本,,,,
,1286,1713,,,「推測術」,ベルヌーイ数,ヤコブ・ベルヌーイ,ヨーロッパ　文化　科学,,,,
,747,1714,,,江島生島事件,,月光院（7家継生母）・天英院（6家宣正室）,日本　女,,,,
,1008,1714,,,山村座が取り潰されて江戸三座となる,,,日本　文化,,,,
,1208,1715,,,海舶互市新例（長崎新令・正徳新令）,,新井白石,日本,,,,
,1212,1715,,,新金通用強制令,,新井白石,日本,,,,
,1352,1715,,,弘前藩士が桜を城内に,,,日本,,,,
,1379,1715,,,歌舞伎で初めての広告,,,日本,,,,
,269,1716,,,トスカーナ公がキアンティの生産地域を指定,,,イタリア　ワイン,,,,
,823,1716,～1745,,享保の改革,,徳川吉宗,日本,,,,
,990,1716,～1735,,元号：享保,,,日本　元号,,,,
,1004,1716,～1745,,将軍：徳川吉宗　8代,,,日本　将軍,,,,
,1242,1716,,,江戸で熱病が流行る,,,日本,,,,
,1248,1716,,,過失による交通事故にも責任があるとの法令,,,日本,,,,
,1290,1717,,,テムズ川の「水上演奏会」,,ヘンデル　ジョージ１世,ヨーロッパ　文化　音楽　イギリス,,,,
,1565,1717,,,ゴールデン・ライオンがオープン,イギリス初の紅茶専門店,トーマス・トワイニング,イギリス　文化　食,,,,
,1992,1717,,,富山藩前田利興が吉宗に鮎ずしを献上,,,,,,,
,974,1718,,,江戸屋,はけ,,日本　文化,,,,
,1063,1718,,,長州藩に明倫館が創建,,,日本　文化,,,,
,1299,1718,,,ももんじや,,,日本　文化　食,,,,
,1380,1718,,,2代目団十郎がういろう売りを舞台で,,,日本,,,,
,1207,1719,11月,,相対済し令,,,日本　,,,,
,271,1720,頃から,,グレイト・アウェイクニング,,,アメリカ　宗教　キリスト教,,,,
,624,1720,,,フォートナムアンドメイソンが紅茶の取り扱いを開始,,,文化　食　イギリス,,,,
,1022,1720,,,飛鳥山に徳川吉宗が桜を植樹,,,日本,,,,
,1214,1720,,,洋書の解禁,,徳川吉宗,日本,,,,
,1338,1720,,,洋書の禁が解かれる,,,日本,,,,
,1403,1720,,,南海泡沫事件,,,ヨーロッパ　イギリス,,,,
,1734,1720,,,アン・ボニーが捕まる,,,,,,,
,1152,1721,,,「女殺油地獄」初演,,近松門左衛門,日本　文化,,,,
,1930,1722,,,イギリスがインド人海族に大敗,,,ヨーロッパ　イギリス,,,,
,1211,1724,2月,,物価引き下げ令,,,日本,,,,
,272,1725,,,「四季」,,ヴィヴァルディ,文化　音楽,,,,
,1246,1726,,,辻駕籠を自由営業に,,,日本,,,,
,273,1727,,,「マタイ受難曲」,,バッハ,文化　音楽,,,,
,1558,1727,,,白子屋おくま処刑,,,日本,,,,
,952,1728,,,日本に初めて像が来る,,,日本,,,,
,1025,1728,,,白牛３頭を輸入,嶺岡（みねおか）牧,,日本,,,,
,1217,1728,,,米の延取引を黙認,,,日本,,,,
,1400,1728,,,象が初めて日本に来る,,,日本,,,,
,1216,1729,,,相対済まし令の撤廃,,,日本,,,,
,1386,1729,,,「大義覚迷録」,,雍正帝,中国,,,,
,1220,1730,,,藩札の使用を再び認める,,,日本,,,,
,1225,1730,,,堂島米国市場を認可,,,日本,,,,
,1023,1732,,,享保の大飢饉,,,日本,,,,
,1236,1732,,,吉宗が宗春に隠居謹慎を命じる,,,日本,,,,
,1026,1733,,,享保の打ちこわし,江戸時代最初の打ちこわし,高間伝兵衛,日本,,,,
,1231,1733,,,高間騒動,江戸の最初の打ちこわし,,日本,,,,
,1297,1733,,,食行身禄入定,富士講,,日本,,,,
,1215,1734,,,「諸国物産調」,,徳川吉宗,日本,,,,
,1908,1735,,,甘藷の記,,青木昆陽,日本,,,,
,1964,1735,,,「自然の体系」,,リンネ,,,,,
,971,1736,,元文元年,十三や櫛店,くし　上野,清八,日本　文化,,,,
,1066,1736,,,仙台藩に明倫養賢堂,,,日本　文化,,,,
,1265,1736,,,売茶翁が東山に通仙亭を開く,,売茶翁月海,日本　文化　食,,,,
,1269,1738,,,永谷宗円の煎茶の新製法（宇治の煎茶）,伸煎茶の祖　手もみ,永谷宗円,日本　文化　食,,,,
,1398,1739,～1740,,「人間本性諭」,,デビッド・ヒューム,イギリス,,,,
,1931,1739,,,オランダ軍がインド南西のトランヴァンコール王国に敗戦,,,ヨーロッパ,,,,
,274,1740,,,オーストリア継承戦争（～1748）,,,ドイツ,,,,
,275,1740,,,フリードリヒ2世即位,,,ドイツ　プロイセン,,,,
,276,1740,,,マリア･テレジア即位（～）,,,ハプスブルグ,,,,
,1178,1740,,,「パラミ」,英国近代小説のはじめ,リチャードソン,ヨーロッパ　イギリス,,,,
,1002,1741,,,佐野川市松が袴に市松模様を用いる,,,日本　文化,,,,
,277,1742,,,公事方御定書,,,日本,中学,,,
,278,1742,,,「ディアナの水浴」,,ブーシェ,文化　美術,,,,
,1270,1742,,,売茶翁が永谷宗円を訪ねる,,,日本　文化　食,,,,
,1559,1744,,,七社奉幣使,,,日本,,,,
,1044,1745,～1760,,将軍：徳川家重　9代,,,日本,,,,
,1221,1746,,,日本左衛門を全国指名手配,幕藩体制の弱点が見え始める,,日本,,,,
,279,1748,,,「法の精神」,,モンテスキュー,文化,,,,
,280,1750,,,バッハの死（65歳）,,バッハ,文化　音楽,,,,
,281,1751,,,「ジン横丁」,,ホガース,文化　美術,,,,
,1226,1753,,,「自然真営道」,,安藤昌益,日本,,,,
,1078,1755,,,島津重豪が薩摩藩主に,,,日本,,,,
,1918,1755,11月1日,,リスボン大地震,,,ヨーロッパ,,,,
,1986,1755,,,ロシア大学創建,,,ロシア,,,,
,282,1756,,,7年戦争が始まる（～1763）,,,ドイツ,,,,
,283,1756,,,外交革命,,,オーストリア,,,,
,1291,1757,,,東都薬品会,,,日本,,,,
,1322,1757,,,第一回薬品会,,,日本,,,,
,284,1758,,,「ポンパドゥール夫人」,,ブーシェ,文化　美術,,,,
,554,1758,,,ハレー彗星,約50年前に予言,ハレー　メシエ,科学　宇宙　天文,,,,
,1121,1759,,,「動植さい絵」,,伊藤若冲,日本　文化　美術,,,,
,1222,1759,,,竹内式部を京から追放,,,日本,,,,
,1045,1760,～1786,,将軍：徳川家治　10代,,,日本,,,,
,1144,1760,年代後半,,「お仙と団扇売り」,東京国立博物館,鈴木春信,日本　文化　美術,,,,
,1224,1761,,,信州上田藩の一揆,,,日本,,,,
,1957,1761,,,マリンクロノメーター（船舶用精密時計）,,,,,,,
,285,1763,,,ベイズの定理,,ピエール＝シモン・ラプラス,科学,,,,
,813,1763,,,「清三朝事略」などの原資料が長崎へ,,,日本　中国,,,,
,1538,1764,,,漬物老舗「総本家　近清」創業,,,日本　文化　食,,,,
,1987,1764,,,ロシアで教会・修道院領の国有地化,,,ロシア,,,,
,633,1765,,,印紙条例,翌年撤廃,,アメリカ　イギリス,,,,
,1013,1765,頃,,「動植さい絵　雪中錦鶏図」,相国寺,伊藤若冲,日本　文化　美術,,,,
,1123,1765,,,「雪松図屏風」,,円山応挙,日本　文化　美術,,,,
,1227,1765,,,明和五匁銀,,田沼意次,日本,,,,
,824,1767,～86,,田沼意次の政治,,,日本,,,,
,1223,1767,,,明和事件,,山形大弐,日本,,,,
,1643,1768,,,イギリス・ロイヤル・アカデミー,フランスに文化で対抗,,ヨーロッパ　イギリス　文化,,,,
,286,1769,,,アークライトの水力紡績機,,,アメリカ,,,,
,1012,1770,,,「柳に鶏図」,,宋紫石,日本　文化　美術,,,,
,1016,1770,年代,,「松に唐鳥図」,,佐山曙山,日本　文化　美術,,,,
,1308,1770,,,ベートーヴェン生まれる,,,文化　音楽,,,,
,1234,1771,,,近世三大巡礼運動,おかげ参り,,日本,,,,
,1622,1771,,,お蔭参り,,,日本　文化　宗教,,,,
,1076,1772,,,田沼意次が老中に,,,日本,,,,
,1228,1772,,,南鐐二朱判,,田沼意次,日本,,,,
,1240,1772,,,目黒行人坂の火事,江戸の三大大火,,日本,,,,
,631,1773,,,茶条例,,,文化　食　イギリス,,,,
,632,1773,,,ボストン茶会事件,,,文化　食　イギリス　アメリカ,,,,
,1064,1773,,,薩摩藩の造士館,,島津重豪,日本　文化,,,,
,1166,1773,,,七家騒動,,上杉鷹山,日本,,,,
,1396,1773,,,ロンドン証券取引所創設,,,イギリス,,,,
,288,1774,,,ルイ16世即位（～）,,,フランス,,,,
,1202,1774,,,「若きヴェルテルの悩み」,,ゲーテ,ヨーロッパ　文化,,,,
,1593,1774,,,「解体新書」,小野田直武26歳が挿し絵,杉田玄白,日本　文化　科学　美術,,,,
,1065,1775,,,熊本藩に藩校時習館,,,日本　文化,,,,
,290,1776,,,アメリカ独立宣言,,,アメリカ,中学,,,
,1014,1776,,,「籐花図屏風」,,円山応挙,日本　文化　美術,,,,
,1068,1776,,,米沢藩に興譲館,,,日本　文化,,,,
,1326,1776,,,画図百鬼夜行,,,日本,,,,
,1395,1776,,,「国富論」,,アダム・スミス,経済　イギリス,,,,
,1399,1776,,,ジェームズ・クックが航海に,,,イギリス,,,,
,1501,1776,,,米沢藩の百万本植樹計画,,上杉鷹山,日本,,,,
,982,1778,,,「画法綱領」「画図理解」,,佐竹曙山31歳,日本　文化　美術,,,,
,291,1779,,,ミュール紡績機,,サミュエル・クロンプトン,ヨーロッパ,,,,
,292,1781,,,寛容令,,ヨーゼフ2世,ドイツ　ハプスブルク,,,,
,293,1781,,,農奴制廃止令,,ヨーゼフ2世,ドイツ　ハプスブルク,,,,
